Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
22	2153	6.7e-27	26.2	9.26	-42	-82	4	-39.8	-73.8	-0.397	733	-42	-86	4	278
21	2019	9.81e-26	25	7.54	-40	-42	50	-47.6	-27.7	40.5	845	-42	-22	68	259
20	1562	1.51e-21	20.8	8.81	36	-84	8	39.6	-78.9	5.28	568	36	-84	8	256
19	487	2e-09	8.7	6.57	-10	-18	8	-4.11	-17.8	7.85	547	-8	-18	8	279
18	398	5.96e-08	7.22	6.08	36	-60	26	25.9	-64.4	39.6	516	14	-70	50	240
17	342	2.98e-07	6.53	5.79	64	-28	16	63.2	-32.5	19.9	444	66	-20	8	247
16	342	2.98e-07	6.53	5.06	6	12	40	-0.403	3.27	44.3	399	6	12	40	242
15	312	8.94e-07	6.05	4.69	34	-62	-16	23.7	-57.9	-18	274	30	-74	-16	197
14	294	1.79e-06	5.75	5.44	52	-20	34	58.6	-18.7	37.6	396	62	-8	38	232
13	293	1.85e-06	5.73	6.29	14	-62	-50	17.1	-62.6	-47.3	380	14	-62	-50	210
12	263	5.96e-06	5.22	7.34	-56	4	38	-50.5	2.5	34.7	633	-56	4	38	257
11	235	1.87e-05	4.73	5.95	-58	10	14	-54	5.96	10.2	354	-54	2	6	239
10	201	7.95e-05	4.1	4.85	54	8	0	52.2	6.93	16.3	453	52	14	0	260
9	151	0.000782	3.11	4.66	-20	-64	10	-17.5	-61.6	6.73	363	-16	-70	10	246
8	111	0.00587	2.23	4.92	26	-48	2	26.6	-53	6.02	350	26	-48	2	234
7	106	0.00767	2.12	4.95	-22	-10	50	-23.7	-7.71	53.2	306	-26	-6	58	212
6	99	0.0112	1.95	5.14	-34	16	10	-36.4	13.9	6.93	473	-34	16	10	249
5	96	0.0132	1.88	4.85	26	60	24	28.3	58.8	25.5	483	28	60	26	337
4	94	0.0148	1.83	3.97	-6	-74	-46	-16.5	-70	-48.1	264	-6	-72	-46	191
3	94	0.0148	1.83	4.88	40	-38	48	40.1	-40.1	50.1	355	42	-40	48	224
2	86	0.0233	1.63	4.23	-40	60	12	-38.2	61.5	9.16	346	-36	62	12	264
1	77	0.0393	1.41	4.85	28	-2	52	29.7	-0.983	51.5	285	32	2	50	218
