Cluster Index	Z	x	y	z	
10	5.95	-40	-26	68
10	5.66	-30	-28	74
10	5.58	-64	-24	42
10	4.97	-46	-36	66
10	4.92	-58	-24	54
10	4.87	-50	-14	60
9	6.03	-46	-74	-6
9	5.74	-52	-68	4
9	5.45	-38	-78	-10
9	4.92	-38	-86	-14
9	4.91	-34	-92	-14
9	4.83	-42	-88	-6
8	5.91	40	-74	-4
8	5.86	42	-76	-8
8	4.9	52	-68	-6
8	4.39	52	-58	12
8	4.26	50	-66	6
8	4.09	52	-70	2
7	5.54	-30	-44	40
7	4.84	-34	-52	54
7	4.73	-34	-44	48
7	4.63	-40	-42	44
6	5.71	38	-52	58
6	4.08	38	-46	54
6	3.73	38	-42	46
6	3.41	32	-44	40
6	3.24	36	-48	40
5	5.01	-4	0	54
5	4.31	-2	-12	58
5	3.85	6	2	50
5	3.64	6	-6	54
4	6.01	-34	2	14
3	5.74	-62	-20	26
3	4.12	-50	-22	24
2	5.56	46	-48	-20
2	4.38	34	-48	-16
1	4.53	42	-12	66
1	3.96	34	4	62
1	3.92	38	-6	66
1	3.69	36	-2	62
