Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
21	2872	8.71e-33	32.1	6.42	54	-66	-6	39	-67.7	-5.31	495	30	-58	-18	231
20	1994	1.63e-25	24.8	7.26	-40	-70	-8	-34.6	-76.1	-3.99	416	-36	-86	-2	236
19	1692	8.93e-23	22	7.61	-2	0	60	-0.294	10.8	44.8	679	-2	0	60	271
18	1614	4.83e-22	21.3	7.27	52	10	28	45.8	7.94	20.1	577	52	10	28	237
17	1038	3.4e-16	15.5	5.85	34	-58	54	34.4	-49.5	47.2	454	44	-38	60	233
16	936	4.67e-15	14.3	5.7	-24	-50	50	-30.3	-49.4	52	587	-28	-58	58	257
15	658	1.02e-11	11	6.42	-56	-24	36	-49.3	-25.2	40.2	541	-40	-24	64	235
14	586	8.85e-11	10.1	5.77	-42	4	30	-45	19	27.3	407	-42	4	30	235
13	464	4.26e-09	8.37	5.33	-38	-2	52	-31.4	-3.95	56.9	386	-38	0	54	223
12	284	2.62e-06	5.58	4.71	30	48	26	35.4	47.1	27.2	348	34	42	38	220
11	262	6.26e-06	5.2	5.09	-44	-50	12	-50.8	-54.7	11.6	319	-58	-56	10	229
10	222	3.22e-05	4.49	5.53	26	0	50	26.2	-1.9	50.4	326	26	0	50	211
9	167	0.000367	3.44	4.68	-24	2	6	-25.1	-1.77	0.704	261	-24	2	6	204
8	158	0.00056	3.25	4.5	0	-44	50	-0.793	-50.1	50.7	304	0	-44	50	228
7	153	0.00071	3.15	5.49	-50	-2	2	-49	1.93	-0.946	346	-50	-2	-2	233
6	136	0.00163	2.79	4.09	12	-12	10	9.91	-15.6	7.1	359	10	-16	8	232
5	111	0.00587	2.23	5.69	62	-18	24	61.2	-19.1	22	379	66	-24	26	256
4	109	0.00653	2.19	4.02	-18	-26	2	-12.6	-20.5	1.88	253	-6	-18	-6	195
3	104	0.00854	2.07	4.03	-4	-16	42	-5.34	-17.1	40.8	287	0	-14	40	205
2	95	0.014	1.85	4.18	-36	-54	-30	-33.9	-53.1	-33.7	255	-36	-54	-30	190
1	82	0.0293	1.53	4.62	-34	12	6	-32.7	15.8	4.58	284	-34	12	6	207
