Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
18	13216	0	91.6	7.55	42	-86	6	9.23	-67.5	5.58	1.08e+03	10	-70	58	256
17	2941	2.53e-33	32.6	7.7	-56	-34	54	-38.8	-29.5	56.9	1.06e+03	-36	-42	66	282
16	624	2.8e-11	10.6	6.17	56	14	38	46.7	11.5	33.5	584	54	4	46	287
15	464	4.26e-09	8.37	5.8	8	-4	14	-4.77	-10.1	16.6	591	2	-6	14	229
14	373	1.19e-07	6.92	6.36	36	-44	-50	34.7	-46.8	-51.3	443	36	-42	-52	199
13	250	1.01e-05	4.99	5.76	-56	6	44	-49.3	3.64	41.3	487	-48	2	46	260
12	189	0.000135	3.87	5.52	4	16	46	2.11	11.5	45.9	585	0	14	46	294
11	148	0.000903	3.04	4.92	26	56	0	24	60.4	-3.84	346	26	70	-4	205
10	147	0.000948	3.02	6.03	36	0	14	37.5	0.75	7.66	331	36	0	14	190
9	139	0.0014	2.85	4.93	48	18	-4	50.7	16.8	-3.97	611	56	16	-2	346
8	125	0.00283	2.55	4.64	56	-26	0	51.8	-27	-0.0862	340	56	-24	0	209
7	119	0.00386	2.41	5.44	-4	-26	82	-0.996	-24.5	81.7	644	-2	-26	82	364
6	113	0.00528	2.28	5.24	44	40	32	42.6	37.3	30.9	418	44	40	32	246
5	111	0.00587	2.23	6.04	-54	10	0	-54.8	11.2	-0.114	596	-54	12	-2	306
4	105	0.00809	2.09	5.12	40	22	-18	41.7	26.8	-14.1	448	40	22	-18	271
3	91	0.0175	1.76	4.24	-60	-50	18	-60.5	-48.7	18.6	284	-62	-48	18	203
2	90	0.0185	1.73	4.55	-40	-44	-52	-35.1	-47.4	-53.9	262	-40	-46	-54	183
1	88	0.0208	1.68	4.29	-62	-26	24	-59	-27.5	19.3	360	-68	-26	20	220
